Company Name,Predict
Wheels and Wings Global Services Pvt. Ltd,No
wowTalkies,No
Balajiengineeringworks,Yes
SpaceMatch,No
HumSafer Driver Safety App,Yes
institute of diabetes endocrinology and adiposity pvt ltd (IDEACLINICS),No
Baazi Games,No
Neumetric Computations Private Limited,No
BaffleSol Technologies,No
Movimiento Automotive Private Limited,Yes
Celebratinglife Infotech Private Limited,No
SettleFirst - Smart Contracts for Smart Business,No
Sukuto,No
TransportSimple,No
PROCESSIT GLOBAL PRIVATE LIMITED,No
Cutting Chai Technologies,No
Shiprocket,Yes
WATTAPP Technologies Pvt Ltd,No
Kommunicate,No
Yellow Plate,No
Prepter,No
Show Some Love,No
IP Crafters Advisory Pvt. Ltd.,No
TESSOL,Yes
Qliclabs Technologies Private Limited,No
Lonely Cloud Consulting Pvt Ltd,No
Vectorised AI Labs,No
BIZMOBILE IT SOLUTIONS PRIVATE LIMITED,Yes
Airblack,No
My parking,No
Kazam EV Tech Pvt Ltd,No
Neurostellar,No
Quizy,No
BharatCaller,No
Trucks24,Yes
College funda.com,Yes
ARFICUS COVTREAT,No
InterviewBuddy™,No
Ceres Foods Pvt Ltd,No
DARTERS INDIA RESORT  PRIVATE LIMITED,No
Stupa Sports Analytics Pvt. Ltd.,No
RDL Technologies Pvt Ltd,Yes
Webbell Solutions Private Limited,Yes
ATAI Labs Pvt. Ltd.,No
RaSu Creatives,No
Winvesta,No
Powerhouse91,No
Disruptian  Technologies Pvr ltd,No
Metis Imtellisystems Pvt. Ltd.,No
Testbook Edu Solutions Pvt Ltd,No
Omuni (Arvind Internet),Yes
Craftech 360,No
10club,Yes
Melodale Technology Solutions,No
Global PayEX,Yes
WeVOIS Labs Pvt. Ltd,No
Drishya AI Labs Inc.,Yes
BOCS,No
Pencilton,No
Chowdhury Universal Entertainment,No
Bolmapay,No
GIBots,Yes
Tri-Pillar Industrial Scientific Solutions East Africa Ltd,No
Athim agency,No
Infilect Technologies Pvt. Ltd.,Yes
Daajyu Innovations,No
Loop Health,Yes
Edsystango Technoeducation Private Limited,No
Tiffilo Private Limited,No
Loop Health,Yes
WELLNESYS,No
vCloudx Infotech Pte. Ltd.,No
Omnicomm Fuel Technologies India Pvt. Ltd.,Yes
Goodmeetings,No
ReDesell,No
Drishya AI Labs Inc.,Yes
Nimaya Robotics,No
PARAMNETWORK INDIA LLP,No
SHIELD SECURE SERVICES,No
ArewaDevs,No
Bill Safe Technologies,No
AnalyticsVerse,No
INKINDIALEGAL & INKLEGALSUITE,Yes
BazarPe Infotech Pvt Ltd,No
Novopay Solutions Private Limited,No
R Buy Solutions Pvt Ltd,No
Palus Foods Pvt Ltd,No
Arya Wines Pvt Ltd,Yes
Tuttifrutti Interactive,No
PlayWise Esports Pvt Ltd,No
VPTech,No
HoverRobotix,No
Cope Studio Private Limited,No
Prishni,No
Prishni,No
Factors.AI,Yes
GeeCom India,No
Fireside Technologies Pvt Ltd,Yes
EGREEN,Yes
Tron EV,No
Hapchi,No
Leegality,No
Pacify Medical Technologies Private Limited,No
Nutrigenetics Life Science Pvt Ltd,No
Mauka,No
Edsystango TechnoEducation PVT LTD,No
OroPocket,No
ClearQuote Technologies India Pvt Ltd,No
UniFarm,No
Deep Eigen,No
Teachmint,No
Ratikanta Nayak,Yes
Biconomy,Yes
Skylo Technologies,Yes
Pine & Lime,No
Orage Digital Pvt Ltd (Offee),Yes
NrXen IT Technologies Private Limited,Yes
LXME,No
SpaceFields,Yes
GoPhygital Pvt. Ltd.,No
SUSTAIN AI Pvt. Ltd.,No
Evenflow Brands,No
Toch,No
Weedeo,No
HP General Studues,No
ZILA (Giscle Systems Pvt. Ltd.),No
Fly Ad Astra Aviation Academy,No
Vastra - Digitizing India's Textiles,Yes
Lets works,No
Locobuzz,Yes
Radr,No
ARTISM,No
PROTAL,No
ByteXL,Yes
Beydest Pvt Ltd,No
NatureDots,Yes
HelloSivi Software Labs Private Limited,Yes
Ovik Finance,No
FireLinks.IO,No
SparesDeal,No
humit,No
codedamn,No
Flive Consulting Private Limited,No
LEDchip Indus P Ltd,No
BUZzz,Yes
Skylark Drones,Yes
Apex Educational Consultants,No
Stabaka BioSciences P Ltd,No
Caregiver,Yes
BasicMate,No
ekta health private limited,No
20GTL SMARTFLEETERS,No
Shoppr,No
KathaQuest,No
EcoPrithvi,No
EasyMyCare,No
Doifoo,No
Rgyan,No
PreBOO,No
Samaaro (parent company: Tacnik Technology Pvt Ltd),No
ArtBuRt Lifespaces,No
Tuttifrutti Interactive,No
Stackup Technology Solutions Pvt Ltd,No
Fairvi Solution Pvt Ltd,No
AutoStudio,No
Go Gaga Matchmaking Private Limited,No
Secure Blink Tech Pvt Limited,No
In-Fluent Learning,No
Kavishala,No
ImStrong,No
Little Master Digital Pvt Ltd,No
JobSquare Network Private Limited,No
Livwell Holding Pte. Ltd.,No
CamCom Technologies Private Limited,Yes
Acrannolife Genomics,No
Podd,No
Zobaze,No
GoRefer Club,No
Financial Hospital,No
Sprinkle Data,No
HiPER Automotive,No
TransportSimple,No
PAGO Analytics India Pvt Ltd,No
Alserv-Alliant Services Pvt Ltd,No
HUPLUS  MARKET INNOVATIONS PVT LTD,No
Pepkit Media Pvt. Ltd.,No
Adfactors PR,No
Pepkit Media Pvt. Ltd.,No
Heuro Platform Pvt Ltd,No
Decornt Online Service Pvt ltd,No
Picxele,No
Brand Name - Cosmic; Company Name - Shooting Star Tech Private Limited,No
Jott It,No
FanPlay Technologies,No
DoctorOnline HealthTech Pvt Ltd,No
Vibrant Spaces,No
Avantari Technologies,No
Buildesk,No
MedTravo,No
Buildesk,No
Tuttifrutti Interactive,No
Nimble Vision Pvt Ltd,No
OrganicShala,No
OrganicShala,No
Health Vectors,No
Originia WorldWide,No
Twin Health,No
Infilect,Yes
NextElement Pvt Ltd,No
RubanBridge Pvt. Ltd,No
Sarvyoga,No
GroMo,No
Walrus,No
VastraApp,Yes
Accern,Yes
Pracify,No
NayaRoomie Private Limited,No
Axlrate Research and Innovations,No
startup,Yes
Dare2Compete,No
Klapklap (Yikes Technology Pvt Ltd),No
ENT NETWRK,No
AdvaRisk,Yes
MUSPIC,No
InterviewBit & Scaler,No
CrystalBall,No
Fat Cat Robotics,No
Crafter,No
Shree dhanvantari pharmcy collage,Yes
Clouderizer,No
KRATOS INNOVATION LABS PRIVATE LIMITED,Yes
iMumz (Pruoo Health Tech Private Limited),No
Yoopha Healthtech Private Limited,No
TechShlok,No
Winvesta,No
HEALTHIMO INDIA PRIVATE LIMITED,No
Datanomist,No
Atmax Technologies Private Limited,No
Xane AI,Yes
Dhayas,No
OrangeCells Lab,No
Vervotech Solutions Private Limited,No
Godly,No
BigClasses,No
inchpaper private limited,No
Divyanshu,Yes
Credivel Solutions Private Limited,No
Eidolon Learning Pvt Ltd,No
Ai-Bharata,No
Pidge,No
MidasGravityPvt Ltd,No
byteXL,No
MOVEABOX,No
Bluerang,Yes
YOLO,No
Fitelo,No
Fountain9,No
FORSTU EDUTECH LLP,No
Sigaram,No
Ghosh Technology Private Limited,No
Boltzmann labs pvt ltd,Yes
8Worksera Remote Work Opportunities Pvt Ltd,No
Coooped Private Limited,No
BOT Shreyasi,No
Navia Life Care,Yes
CodeDrills,No
happy healthy life,No
Nolwa Private Limited,No
CamCom Technologies Private Limited,Yes
IQLECT Software Solutions Private Limited,Yes
Stackby.com (Relytree Technologies Pvt. Ltd),No
HelloSivi Software Labs Private Limited,No
Grahaa Space,No
AIDAIO Software Solutions Pvt Ltd,No
Pavo & Tusker Innovations,No
Runaya,No
WiJungle,No
Inoviea ventures private limited,No
CannyMinds Technology Solutions Private Limited,No
Cy9 India Private Limited,No
WeddingVia,No
Green Energy Center,Yes
Basis,No
TechM,No
Dotbot Technologies Pvt. Ltd,No
eKirana Express,No
Fetchh-it Deliveries Pvt Ltd,No
Fetchh-it Deliveries Pvt Ltd,No
Skill.school,No
TalkDoc.AI,No
Senquire Analytics Pvt. Ltd.,Yes
macagoIT solution,No
Rawpharma Biz Private limited,No
Our Food,No
GreenerG Mobility Solutions Private Limited,No
IDYLL INDIA,No
EDAPPLY PRIVATE LIMITED,No
WonWorld HealthTech,No
Unocoin,No
Namaste Gaon Private Limited,No
HappyStocks Technologies Pvt Lts,No
Skill.school,No
SANE LORE,No
Memorytrain,No
Farmovate Agri Solutions Pvt Ltd.,No
Pikk,No
Clean Electric Private limited,No
10fold,No
OTO Capital,No
Appreciating solutions Pvt.Ltd.,No
JumpBall Eduventures Pvt Ltd,No
NITYAA KHET2GHAR LLP,No
Petofy Pvt ltd,No
Sudandram Technologies,No
Dhiway Networks Private Limited,No
Smerkato,Yes
Kavishala,No
Aleta Technologies Private limited,No
Dasa Labs,No
Invoid,Yes
Genio Solutions LLP,No
InstaWeb Labs Private Limited,No
Citispotter Limited,No
Bodhi AI,No
Settlin - Linking Spaces Technologies Pvt Ltd,No
Jobs On Sight International Pvt Ltd,No
TekUncorked,No
Glint Logic,No
Factana Computing Pvt Ltd,No
YUVA PAY,No
Skugal Technology Private Limited,No
Sunshy Group Of Companies,No
Merkado RHA Technology Pvt Ltd,No
Lyfscience Medtech Pvt.Ltd,No
PuppetBox India Private Limited,No
MANGLA TIMES,No
Fab Beverages and Foods OPC Pvt Ltd,No
MV Square Greenovative energy Solutions Pvt Ltd,No
Rekord,Yes
Shing,No
PMaps,Yes
Koinearth,Yes
Backyourscience Research Foundation,No
RTIwala,No
NoCodeZ,Yes
Aviotron Automations,No
Anuprerna,No
Desisle,No
Kaushal Teleportation Lab,No
Origin securities,No
APPOBILE LABS PRIVATE LIMITED,No
Cutting Edge Medical Devices Pvt. Ltd.,No
Happy Adda Studios Pvt Ltd,No
Tenova Systems P Ltd,No
PerpetualGravity Labs Pvt Ltd,Yes
intuitive,No
4heals™,No
TalenTECH Solutions Pvt Ltd,No
YSDF,No
Pink Collar Professionals,No
UnlockDigital,No
Vieuth,No
Achalaparipurnam pvt Ltd company,No
Minds solvit pvt ltd,No
Efruitmandi Agri Tech Private Limited,No
Tax Arena,Yes
G S Associated,Yes
Wonderwall education,No
Skylark Automation India,No
FashionNex,No
Celebratious,No
ClosetTrunk,No
Cityfurnish India Pvt Ltd,No
Wemind Health,No
delhivery.com,Yes
XCHAIN Technologies Pvt Ltd,Yes
Takalkar Classes,No
SHARE D,No
Sunshinezoom,No
Lfyd,No
Snehix Tech Private Limited,No
BEAST LYRAGE,Yes
Money360 Technologies,No
FOA And GHK,No
Quapt Technologies Pvt Ltd,No
Sozi,No
Devnagri,No
ProGrad Junior,No
Mayukh.ai Software Services,No
Leegality,Yes
PROPERTY SUPER MARKET P LTD,No
Mindbrics Edutech Pvt. Ltd.,No
Aglowsciences LLP,No
AirAcceleratorSystem,No
Superpro.ai,No
Batoi Systems Pvt Ltd,No
Fintuple Technologies Pvt Ltd,No
3MONKS VALLEY LLP,No
FruitcartCo.,No
Rozgarkhoj.com,No
Quicko.com,No
IBSFINtech India Pvt Ltd,Yes
Visual Stories,No
Instant D,No
Nikah Forever,No
SchoolHandy,No
Quaish Bizsense Private Limited,No
Any,Yes
Johnnette Technologies Pvt Ltd,No
Razor club,No
Superfan Studio,Yes
Mayur Internet LLP,No
MOTONIC,No
Variety Innovation Venture Private Limited,No
Hello space,No
Instoried,Yes
Secure Blink,No
Pillwill,No
Avianco Technologies Pvt Ltd,No
novik.in,No
"P v murali krishna, sebi registered analyst",No
Lotusline Clothing Pvt Ltd,No
Ayurvaidic Technology Company,No
SkillxPro,No
Coolage,No
Venthrapy,No
Graphnile Global Services,No
Merge Intern,No
Botman Networks,No
MunchIn,No
RAMJA GENOSENSOR PVT Ltd,No
Niral Networks,No
Presha health tech private limited,Yes
Aspire For Her,No
TruMart,No
Minutemen Innovations Pvt Ltd,No
Prakshep Private Limited,Yes
Karan Trading co.,No
Neobael,No
Weatherseal,No
Fast media,Yes
LOK KAVACH HEALTHCARE PRIVATE LIMITED,No
Sciffer Analytics Private Limited,No
INDGREEN SOLAR AND DIGITAL TECHNOLOGY PVT.LTD,No
"Srujan INNOVATIVE IDEA,s",No
Accomnow,No
vial content tech pvt ltd,No
XCelEast Ventures Pvt Ltd,No
GameSee,No
AgriHike:Heptalands pvt Ltd,No
Virtuallexpo,No
BrandLand Advertising Pvt ltd,No
Shippigo,No
Reddy's,No
Pixy (RocketMind Technologies Pvt Ltd),No
Size n Fit,Yes
Hazzam India Online Shopping,No
Dross Management Systems and Energy Solutions Pvt Ltd,No
Elysian Studios,No
WhistleFreights.com,Yes
StatValu Private Limited,No
Sybylline Robotics Private Limited,Yes
Booksraf,No
Birthvenue,No
Elke Therapeutics Inc,No
MicroGO,Yes
SAB Learning Systems LLP,No
OfficeSmart,No
Merake,No
DataGrounded,No
Lecturenotes Technologies PVT LTD,No
Question What's Real,No
CMYK Health Products ( myDaily),No
MeTripping,Yes
KANGARU POLYMERS PVT.LTD,No
Multplyr,No
PFS RESEARCH PVT LTD,No
Vendorskart Online Services Pvt. Ltd.,No
Sashwam,No
Atul Industries,No
Dr. Vaidya's (Herbolab India Pvt. Ltd.),No
ACME,No
Aurum Wellness,No
G-Agate,No
NAL,No
Startwithgenesis,No
Urbankisaan,No
MYBMYS,No
AIDoings Research Private Limited,No
TrustCheckr,Yes
Banksathi Technologies Pvt Ltd,No
Xebra BizTech LLP,No
Riskcovry,No
Social Play LLP,No
Blue Barrows,No
Pixxel,Yes
STRAWCTURE ECO,No
GoodApp,No
GetNatty,No
Hueint Private Limited,No
Kenzai care Pvt Ltd,No
Atmax Technologies Private Limited,No
Inspirit,No
Perpule,Yes
Dr. Lal path lab,Yes
Friendcircal,No
Digantara,No
Slingloft Technologies Pvt Ltd,Yes
Foyr,Yes
Nihshabd Ornaments,No
NatunaTech,No
AgriBolo,No
MayaMD,No
Syook - Sparkyo Technology Private Limited,Yes
Deyor,No
Edmingle,No
Oges Solutions Private Limited,Yes
Hireclap,No
Hop Financial Solutions,No
Qzense Labs,Yes
One Corp,No
KleverMIND Infotech Pvt Ltd,Yes
ServeSeek,No
ADH LABS PVT LTD,No
CredAble,Yes
Eventexpo Technology Solution Pvt Ltd,No
LSK9Forms Consulting,No
Meri Help,No
www.houzetazza.com,No
the Media trader,Yes
Verve Systems Pvt. Ltd.,No
HostSphere India,No
Kryator Technologies,No
Big Indian Food Factory & Mussel Nutrition Vision,No
Kitchen kart,No
Retcons Technology,No
Open Booking App,No
Light Information Systems (NLPBots),Yes
Aquaconnect,No
CSDG Technologies Pvt. Ltd.,No
FINDYOURCARE,No
Swalk Retail Private Limited (CyberKart),No
The Voicee,No
PadCare Labs,No
Kalakar,No
Shankar Silvex Pvt Ltd Jaipur,Yes
Avidia Labs,No
Katidhan,No
Spacebix,No
Contrivation Labs Pvt Ltd,No
Journey,No
MUGILAN  AERO TECH PRIVATE LIMITED,No
Quick Ride,No
Cleantech Water,No
ASNK Advertising Pvt Ltd,No
Invento Robotics,Yes
Qubeta Systems Private Limited,No
UNIPIK AUTOMATION SOLUTIONS (DESKFENCE),No
Ridingsolo Hike & Trek opc pvt ltd,No
Testomedi,No
Jeevitam,No
MobiGarage,No
SwadeshiTech India,No
UdyogYantra Technologies LLP,No
Navkiran,Yes
Agronize,No
My Happy Agriculture,No
G-Agate,No
The Phi Factory,Yes
Plutomen Technologies Pvt Ltd,No
AKSHITA INFRA,Yes
ezspace,No
TimeKompas,No
Fastloans.com,Yes
Fastloans.com,Yes
CallHealth Services Pvt. Ltd.,No
Headlight,No
AssisTech Foundation,No
Receptio Systems Private Limited,No
Moverich Technologies,No
The Mintdrops,No
Clearly Blue Digital,No
Axenous,No
ISHTAKA BUILD METRIX PVT LTD,Yes
ChefKart,No
Giottus,No
SGHL INFOCOM PVT LTD,No
Dwarkesh Cell Point,No
AuthBase Pvt. Ltd.,No
Indibuff Solutions Private Limited,No
eximjobs,No
DeepBrainz Technologies Private Limited,No
The Devil Merch,No
East point,Yes
Reolo holographics PVT LTD,No
Dial4242.com,No
Finaptis Consulting Private Limited,No
YuMedic,No
World Art Fair,No
Have Fun Solving Private Limited,No
Spintly,Yes
Hona AlQuds,No
Self employed,No
Antrax Labs Private Limited,No
https://www.aibornetech.in/,No
Upspring Infotech P Ltd,No
Quik Services,No
Opus Business Consulting,No
Anytime Vetstores India Private Limited,No
PureID Private Limited,Yes
Tactopus Learning Solutions,No
Indohealth Software Solutions Pvt Ltd,No
Studio bespoke,No
Studio bespoke,No
ARCODI (SL) COMPANY LIMITED,No
Xpressbees logostic pvt ltd,Yes
Bigthinx,Yes
Twish,No
Vidyaura,No
Masko,No
Pepsi,No
GINEE MARKETING ANALYTICS,No
Booozie,No
Bluetor Communications Pvt Ltd,No
Blue Caterpillars Market Research,No
VoltUp,No
VoltUp,No
Parentof,No
MyEarth.Id,No
Mimyk,Yes
Paani Lao,No
Tunesliberia,No
Bhusangeet VidyutVaahan Pvt. Ltd.,No
TechnoEdz Career Services Pvt Ltd,No
AroLeap Fitness Pvt Ltd,No
NineLives Technology Solutions LLP,No
NineLives Technology Solutions LLP,No
Solar Study,No
Oditly.com,No
Rightbot Private Limited,Yes
"XIPHIAS XPay Life Pvt. Ltd.,",No
Ojas,Yes
Scopeful Bioresearch Pvt.Ltd,No
designcut group of companies,No
ENT NETWRK,No
Self employed,No
BATTLE OF CHESS,No
Robochamps,No
The Tarzan Way,No
Snaptrude,Yes
The Eighth Dimension Consultancy,No
Value3,Yes
Decibell,No
Lokaci,No
ENCIPHERS,No
Conduira Education and Training Services Pvt Ltd,No
Chemists mart,No
Fworld,No
Shop,No
Frontier Markets,No
Parthiv Digital Fin Pvt Ltd,Yes
FireLinks,No
Aradhya Harvester,No
Pink N Blu,No
School Of Accelerated Learning,No
World Micro Stock Exchange,No
Bagisto,No
Gathrr,No
Caterbinge,No
AmberFlux EdgeAI Limited,No
Appreciating solutions Pvt.Ltd.,No
Xoxoday,Yes
TrendsGuru,No
Adiuvo Diagnostics Pvt Ltd,Yes
Rephrase.ai,Yes
Cognitivebotics,No
Prantae Solutions Private Limited OPC,No
PIM Softech Pvt. Ltd,No
Cinemapreneur Ventures,No
Fitracks,No
My School Of Rock,No
Promizecart,No
Tripster,No
Tripster,No
edealcart,No
Medic-lead ltd.,No
Pickmycloth,No
Gamatics India Pvt Ltd,No
eDealCart,No
Mediprix Pharmacy,No
E waste Social Pvt Ltd,No
fleximc ltd,Yes
Housewise,No
Combat Robotics India Private Limited,No
Taxida,No
Clairco,Yes
LitmusWorld,Yes
She Jobs,No
She Jobs,No
She Jobs,No
She Jobs,No
Cube Wealth,No
Sonata,Yes
Agarshehnai,No
NirogGyan,No
CustomerGlu,Yes
Open Financial Technologies Pvt. Ltd,Yes
Reshamandi,No
NanoPrecise Sci Corp,Yes
ElectReps Pvt Ltd,Yes
Pariksha,No
Josh Talks,No
The Girl Talkk,No
RIGHT CHOICE FOOD,No
Flexter.work,No
Kamrupa,No
Sociostac,No
GREENPILL RENEWABLE ENERGY PVT LTD,Yes
Vectorised AI Labs,No
ArtSqFt,No
TeeShopper,No
Urban Mobiles,No
CrisisCode BML LLP,No
Sawood Dhunware,No
Oga Fit,No
Exxe Fitness Private Limited (Company); Fitlete (App),No
Workbook (Fireant Networks Pvt Ltd),No
Techivox Pvt Ltd,No
Spinircle India Pvt Ltd,No
SEED LLC,No
Sexx,Yes
Thumbikkai Business Solutions LLP,No
Metadata,Yes
Securnyx India Private Limited,No
Udghata Technology Private Limited,Yes
Rev Your Soul (Kiara Motorsports Private Limited),No
Callbell Pvt Limited,No
Choix Infinitum LLP,No
Silicon IT and Educational Services Pvt Ltd,No
Cuffsnlashes,No
Eugenie AI,No
DCirrus Cloud Computing Services Pvt Ltd,No
Voiceano,No
ScoopML Inc,No
Netcore Solutions,No
Block Armour,Yes
Blue 24 Media and Marketing Solutions,No
Helpers Near Me,No
Emote Electric,No
Dotbot Technologies Pvt. Ltd,No
CNB Logitech Pvt. Ltd.,No
Oliveco Estate Pvt. Ltd.,No
Techokids,No
QuickSilicon,No
SmartHelio,Yes
The ColdFox,No
Coral Innovations Pvt. Ltd.,No
Insisiv Labs,No
Reseller Mantra,No
Zimyo Consulting Pvt Ltd,Yes
FriendsLearn,No
Minkspay,Yes
Rocket Learning,Yes
Farm 2 fridge Pvt Ltd,No
Ganga digital prints,No
Gosolvo,No
Ganga digital prints,No
Love Alert,No
Saathi,No
Digilytics AI,Yes
Asset chain techlligence Private Limited,Yes
PetroBot Technologies,No
Dwarkesh Cell Point,No
HxRx Automation Pvt Ltd,No
Motion,No
Comedy Munch,No
Asterial (Product Name - Findemy),No
TrustIn,No
FMCG ON Wheels,No
Manali E-Business Pvt Ltd,No
3D Paradise,No
Groww10x.com,No
Tensor Matics Pvt Ltd,No
GrocMed,No
FitsApp,No
Nayaseva Services Private Limited,No
CITILITY,No
MediBuddy-DocsApp,No
Nasglobe LLP,No
The Purchase House,Yes
ALIGN pillow,Yes
BelBird Technologies Private Limited,No
AlgoShack Technologies,No
4-school,No
"Tagcor India Online Services Pvt. Ltd.,",No
Housejoy,No
Cargsoft,No
CloudTrains,No
MARKTAIR MEDIA PRIVATE LIMITED / GAMIAIR,No
Houzetazza,No
Mr-Mirror,No
Media Buddy,No
uScholr,No
wfhessentials.hyd,No
GrowthMart,No
Gorg,No
Redigo - Future Commute,No
Medikabazaar,Yes
Now&Me,No
PCS Ventures,No
GENERICURE,No
Modularhomez,No
DoctorOnline HealthTech Pvt Ltd,No
Eduzo,No
LingoCad,No
Pvt LTD,No
Swarta,Yes
Techb,No
Bolesale Technologies Private Limited,No
G-PAC,No
Fieldproxy,No
DESIGN TECHNIX,No
Bayyinah dairy form,Yes
HealthCloudAI,No
Shark Identity Private Limited,No
FAAVI:Future Ideas For Business,No
Arjava Advisors Pvt Ltd,No
TechiEmpire,No
iobot Technologies India Pvt. Ltd.,No
eooglo software,No
Voltuswave Tech,No
G.I.M Infotech Pvt. Ltd.,No
js enterprises,Yes
Pesh karo,No
DJUBO c/o Saaranya Hospitality Technologies Pvt. Ltd.,Yes
Tanglefaction,No
Starbru Techsystems  Pvt. Ltd,No
Smriticon the climate changer,No
NXTDIGIT,No
Gazemart online service Pvt Ltd,No
Doceree,Yes
MEETISH INFOTECH PRIVATE LIMITED,No
ZedBlox Logitech Private Limited,No
Endoenergy Systems Pvt. Ltd,No
Truckhall Private Limited,Yes
ELIGHT SPM,No
Nexus Power,No
HappyMongo Online Solutions Pvt Ltd,No
Cloud Kitchen Za & Fooddeliveryza.com,No
Dicot,No
Indus OS,No
Please note that there is no any organisation company or any other NGO registration only freelancer individual named Hitesh BHATT-india,No
Encore Capabilities Services,No
Wishbag Technology Private Limited,No
DIAL4242.com,No
Yespoho India Pvt Ltd,No
Yespoho India Pvt Ltd,No
Arcoiris Labs,No
None,No
Hgs,Yes
Pesh karo,Yes
Matro wholesale,Yes
Nileshmahale& Group,Yes
Balloons Unlimited,No
Smart Sustain Private Limited,No
Medwhiz Educare Pvt. Ltd.,No
"STUDENT DEVELOPMENT FOUNDATION,",Yes
Bluwage,No
Riddhimann Technologies Private Limited,No
TOURISM HUB,No
Multi Corz Consulting Pvt Ltd,No
Multi Corz Consulting Pvt Ltd,No
Multi Corz Consulting Pvt Ltd,No
XLMEDIA PRODUCTIONS,No
UTOO Cabs,Yes
Planright Solution,No
HELIOS VENTURES,No
HELIOS VENTURES,No
Celefi,No
TrakitNow Technologies PVT LTD,No
Himani Training and Consultancy,No
LittleBird,No
EduGorilla,No
Elements,No
Sthana.ai,No
SAPP,Yes
Qfuss,No
Drishya AI Labs Inc.,No
University Living,No
Easeassist Information Solutions Private Limited,No
Goprac Pvt ltd,No
Maaesa Creations,No
VdoCipher Media Solutions Pvt Ltd,Yes
Stem MedTech,No
SSANSKAR RETAIL,No
SUXES Hospitality Solutions Pvt Ltd,No
Freelancer,No
CureAssist,No
Twixor,No
Sagar Defence Engineering Pvt. Ltd.,Yes
Battery Smart,No
Euphotic Labs PVT LTD,No
Biosyl Technologies Private Limited,No
Altlifelab Solutions Pvt. Ltd.,No
Chowdhury Universal Entertainment,No
Chowdhury Universal Entertainment,No
Chowdhury Universal Entertainment,No
Flukeachieved,No
Medfly,No
Medfly,No
FOTOBAZAR PVT COMPANY LTD,No
Bingeit,No
ARFICUS,No
Indian eSports Leauge(IeSL),No
Opportune Ventures Private Limited,No
Aarialife Technologies Private Limited,No
IntelliAqua Ltd,No
Pedibreed (Pediville OPC Pty Ltd),No
MiCoB,No
YBA Kanoo,Yes
Igauge Labs Pvt Ltd,Yes
Amigoz - The College Social Network,No
Touchless ID Private Limited,No
Snapy Inc,No
Nextsoft Global,No
The Konnect App,No
Solveeazy Education pvt ltd,No
Solveeazy Education Pvt Ltd,No
Reloading education,No
Propelld,No
Mera Cashier,Yes
Jaipuria pre school,No
AutoSum Infotech Pvt Ltd,Yes
Vedya Technologies,No
Stack Finance,No
Petopedia,No
mykidsdrawing,No
Durity,No
Ecologix Consultancy,No
RSA Consultants,No
Ice Labs EdTech Pvt Ltd,No
Prakshep Private Limited,Yes
pwctech technologies private limited,No
VideoTap,Yes
Nitrogen,No
Born for Cinema,No
SimplyFI,Yes
PrepAI,No
Acoto,No
Ikash Education,No
NinthSem,No
Designgyan llp,No
NabhaVarsha KhelKhelo Pvt Ltd,No
M & J Edtech Pvt. Ltd.,No
Whrrl Fintech Solutions,No
Codingal,No
Cymatic,No
Jyoti&Alina Foundation,Yes
Cambio,No
BRIC SPACES,Yes
SKYY RIDER INSTITUTIONS FOR ADVANCED SKILL AND RESEARCH PVT LTD,No
ProTec Concepts Private Limited,No
BhaiFi Networks Pvt. Ltd.,No
Syntizen Technologies,Yes
MinionLabs India Private Limited,No
Pankh,No
EAI Square Technologies LLP,No
Saras Agri Ventures Pvt Ltd,No
Friends float glass,Yes
Botosynthesis,No
ZeoAuto,Yes
Tap Smart Data Information Service Pvt Limited,No
Riskylead entertainments private limited,No
INKINDIALEGAL & INKLEGALSUITE,Yes
Techprom IOT Solutions Pvt Ltd,No
OTTO Serves,No
Shopgro India Pvt Ltd,Yes
RPM Enterprises,Yes
eBotify,No
exelarc,No
www.eximjobs.com,No
Neutral Atom,No
Minkville Innoventures Private Limited,No
Analystt.ai,No
Viverva technology Pvt Ltd,No
Middle Out Mobile Studio,No
Andromeida Maritime Solutions,No
Perennial Systems,No
Artivatic.ai,Yes
NAILBOX,No
Book My Makeup Pvt. Ltd.,No
FintastiQ,No
BigHaat Agro Pvt Ltd,No
Narey Vain India Pvt Ltd,No
Mobi Serve Private Limited,No
Edviseme Tech Venture LLP,No
EximScouts,No
Unitrax Infoventures Private Limited,No
NewsReach,No
PRAVAA INFOSYSTEMS,Yes
Exambazaar,No
Friends float glass,Yes
Stupa Sports Analytics,No
UniAcco,No
Retailor,No
Kesar internet company,Yes
Cloudlytics Technologies,Yes
Fireblaze AI School,No
ThinkCrazy Technologies Pvt Ltd,No
FaceFi Private Limited,No
Azureiken Technologies (DATAIKEN Platform),No
MARKTEQ IT SOLUTIONS LLP,No
AVES School of Arts Pvt Ltd,No
Saanchalchhaya apex pvt ltd,No
Gazemart,No
Plus Communications,No
IntPurple Technologies,No
PopMart,No
SHOZIKI INFOTECH SERVICES PVT LTD,No
Unifynd Technologies Pvt. Ltd.,Yes
230 PLUS STARTUP IDEAS,No
TYASuite Software Solutions Pvt Ltd,No
3SK Corporation,No
ProductSC Business Consulting & Services,No
Jewellazar,No
Atalabecho.com,No
Tradebeat,No
Noth Engine Pvt. Ltd.,No
ProductSC Business Consulting & Services,No
TankUp Petro Ventures LLP,No
"HealthWorks Analytics, LLC",No
ProductSC Business Consulting & Services,No
Ambjet,No
FINNOVATE,No
Gaming Akhada,No
Annona IT Solutions Pvt Ltd,Yes
